('action_bottom', 'auditory_top')	('action_top', 'auditory_top')	('action_bottom', 'auditory_bottom')	('action_top', 'auditory_bottom')	average_similarity	average_std
Eule	Tanz	Fluß	Ball	0.6201734393499357	0.10363977313265414	
Sprachrohr	Taktstock	Fahrgestell	Keilriemen	0.6201039206322131	0.1693749724964285	
Piepser	Klatschen	Bluter	Riemen	0.6195101984415279	0.1875294158801127	
Moderatorin	Vibrieren	Viereck	Weben	0.6194946575059689	0.1715163403978745	
Würger	Rohrstock	Schlangenbiß	Karabiner	0.6193382857935595	0.12469460912810407	
Amokläufer	Klopfen	Gürtelrose	Karabiner	0.619316904620289	0.18232847089010457	
Showmaster	Tanz	Schatzkammer	Anfertigen	0.6192965412250591	0.2075867686713811	
Showmaster	Schlagstock	Stirnlampe	Satteltasche	0.6192863357735067	0.21523839338843806	
Schulleiter	Hämmern	Randstein	Abrollen	0.6192565562144182	0.1874155803133091	
Aufzug	Taktstock	Brustwehr	Riemen	0.6191157889255493	0.13700681836721484	
Wärter	Klopfen	Keil	Bolzen	0.6191047130879973	0.05464724058957221	
Wärter	Anschlag	Dickicht	Abrollen	0.619031133197311	0.1432705132771552	
Zeichentrick	Vibrieren	Schiebedach	Polsterung	0.6190180454500961	0.3001182894427495	
Extremist	Fußtritt	Tumor	Bolzen	0.6189047969237749	0.159112885805598	
Vogel	Schlagstock	Ballon	Zange	0.6188912884347431	0.14149639262160937	
Zwischenfall	Klatschen	Geschwür	Bolzen	0.6188874090888378	0.15897690713923116	
Redner	Hämmern	Britin	Knobeln	0.6187558002649313	0.13016500428917016	
Vogel	Fußtritt	Wandschrank	Schnürsenkel	0.618722206043699	0.19124028798748816	
Vogel	Schlagstock	Kofferraum	Rucksack	0.6187052356741681	0.15597532013558088	
Clown	Rohrstock	Klecks	Spitzhacke	0.618690643206487	0.09238112419272082	
Saal	Tanz	Pixel	Faltenwurf	0.6186289055939852	0.1679851818218481	
Beitrag	Vibrieren	Licht	Waschen	0.6186172380047149	0.143688408915359	
Schwalbe	Streicheln	Ikone	Knobeln	0.6185287912836924	0.12667102727343751	
Clown	Motorsäge	Palisade	Lauffläche	0.6184865022823695	0.27892923569533673	
Vogel	Motorsäge	Halstuch	Kissen	0.6184685004550091	0.20325934139701543	
Hooligan	Anschlag	Pocke	Fausthieb	0.6184373860903128	0.09172932240071967	
Protestler	Klöppel	Klitoris	Säbel	0.6184099739557749	0.16709244210252275	
Monolog	Anschlag	Gebärmutter	Karabiner	0.6183900419538441	0.23076552342890058	
Papagei	Tanz	Tulpe	Ball	0.6183438528485539	0.08550490738804285	
Bauchredner	Klöppel	Tragfläche	Handgelenk	0.6183065214711946	0.22013322322556075	
Kompressor	Hämmern	Velodrom	Knobeln	0.6181977327522106	0.20834659193798735	
Zaunkönig	Rohrstock	Kaulquappe	Spitzhacke	0.6181475256824359	0.13263264404047617	
Besetzer	Anschlag	Schneefeld	Abrollen	0.6180621665754401	0.19414380389305552	
Tölpel	Hämmern	Eckzahn	Abrollen	0.6180468141502025	0.19564524957530233	
Clown	Rohrstock	Mauer	Knie	0.617870068598776	0.22491561004254754	
Reporter	Schlagstock	Kapuze	Fußknöchel	0.617856668162808	0.1300852823001378	
Plagiator	Klöppel	Vorhaut	Karabiner	0.6177842374557276	0.15147045175031543	
Funktionär	Hämmern	Wohnstatt	Abrollen	0.6177194634551227	0.13118228743785684	
Schreihals	Schlagwerk	Schnellbahn	Widerhaken	0.6175968044705362	0.200826392567044	
Uhu	Klopfen	Zebra	Ball	0.6174252574514824	0.18024415987615652	
Trommler	Taktstock	Brust	Bolzen	0.617420083823387	0.20348697238723726	
Feuerwerker	Tanz	Bikini	Montieren	0.6174092214726034	0.14601384589303665	
Plagiator	Anschlag	Hirninfarkt	Stichsäge	0.6174063254051791	0.1667796840992396	
Clown	Klöppel	Halstuch	Schnur	0.6173535984261879	0.16997481012140023	
Saal	Motorsäge	Erdkugel	Vorhängen	0.6173363872963225	0.155993228736174	
Lehrer	Tanz	Gelände	Hand	0.6172580469763055	0.213886205600507	
Sprachrohr	Hämmern	Tragwerk	Textile	0.6172549629996191	0.09229320423390386	
Ohr	Klopfen	Ast	Daumen	0.6171363561488367	0.2118638509421793	
Lied	Klopfen	Paß	Hacke	0.6170685293992929	0.07741047622273067	
Sandmännchen	Taktstock	Spalier	Weben	0.6170631445022177	0.14273748911607237	
Schächter	Anschlag	Kavallerie	Karabiner	0.6170088402743735	0.16019396602618444	
Papagei	Schlagstock	Flußpferd	Handtasche	0.6169280824387012	0.2191887438336408	
Reporter	Anschlag	Augenbraue	Aufhängen	0.6168906318857801	0.14919940994208972	
Reporterin	Nachschlag	Ladenhüter	Widerhaken	0.6167672152160861	0.1427190159655896	
Tonband	Klaviatur	Halm	Garn	0.6167540670404472	0.1512992245039727	
Clown	Schlag	Schirm	Stange	0.6166995141615653	0.15326309775758742	
Plagiator	Anschlag	Schleppnetz	Abrollen	0.6166933801639635	0.16001774131608823	
Sprecher	Klopfen	Tagebuch	Riemen	0.6166370074838036	0.2801389829469107	
Clown	Motorsäge	Halstuch	Spülkasten	0.6163985940183149	0.22648329221733868	
Ohr	Schlag	Boot	Griff	0.6163487576282708	0.16199735521390612	
Vogel	Tanz	Sensor	Utensil	0.6163311106085444	0.1951317519641467	
Kanzlerin	Klopfen	Wannenbad	Kicks	0.6162530054692487	0.14748732937222717	
Ventil	Klatschen	Herzkammer	Karabiner	0.6162223269225675	0.1684212050097592	
Saal	Motorsäge	Ballon	Griff	0.616221804587795	0.0658153142359824	
Reporterin	Vibrieren	Abzeichen	Faltenwurf	0.6161860393511228	0.1707982218371644	
Gitarrist	Schlagwerk	Gebärmutter	Karabiner	0.6161781509547092	0.2663297790512107	
Trinkspruch	Taktstock	Nußschale	Knetmasse	0.615971457393774	0.22407902709952435	
Brecher	Rohrstock	Hinterleib	Oberschenkel	0.6158980078182296	0.22712761205318177	
Telegraf	Klaviatur	Monogramm	Webstuhl	0.6158898773793408	0.20313198236360086	
Sängerin	Klatschen	Berg	Weben	0.6156975272604179	0.18345607841764158	
Gezwitscher	Nachschlag	Äuglein	Karabiner	0.6156689958609086	0.16613081466707919	
Schmierfink	Anschlag	Kaschemme	Stichsäge	0.6155955292671305	0.19405197940735178	
Clown	Rohrstock	Satin	Ballen	0.615463574017355	0.21010768914532965	
Brecher	Schlagstock	Zähnchen	Kniescheibe	0.6153728743298302	0.13468398721934682	
Ventil	Klopfen	Blei	Riemen	0.6153699300346193	0.1872189107593583	
Wärter	Hämmern	Piste	Ellbogen	0.6153598260842018	0.13795257106719033	
Sinto	Anschlag	Pore	Säbel	0.6153315301594152	0.09892533556890032	
Kleiber	Klopfen	Schindel	Abrollen	0.61519188539312	0.2312624053880135	
Wortlaut	Klopfen	Stamm	Werkstück	0.6151689202736329	0.20604943355362917	
Plagiator	Hämmern	Sturmtruppe	Karabiner	0.6151593241882033	0.2006275519139399	
Ton	Klöppel	Kamm	Hacke	0.6151050851753467	0.046590642537793915	
Musikbox	Klöppel	Pfahl	Strick	0.6150915720617389	0.23301155773644236	
Spaßmacher	Anschlag	Gegengipfel	Karabiner	0.6149922359927804	0.1610819186384753	
Schulleiter	Klaviatur	Tibeter	Stichsäge	0.6149492385541813	0.21445042958305374	
Brecher	Rohrstock	Felsgestein	Kniescheibe	0.6149303711280915	0.13379811980147985	
Tölpel	Klöppel	Warze	Ellbogen	0.6148865212827863	0.20929262587744493	
Singvogel	Klöppel	Faultier	Fußknöchel	0.6148210752919757	0.15127525760477253	
Protestler	Motorsäge	Reklametafel	Schnittgut	0.6146635431909594	0.2663272479803308	
Fernsprecher	Vibrieren	Mikrofilm	Werkstück	0.614580134269661	0.10880412162707999	
Ohr	Motorsäge	Zifferblatt	Handgriff	0.6145701976826983	0.18881688307382	
Clown	Tanz	Mähne	Zaumzeug	0.6145631897327103	0.19489265234797842	
Staatsanwalt	Hämmern	Symptom	Stichsäge	0.6144358044763295	0.18277514093017616	
Ton	Klaviatur	Chrom	Riemen	0.6142918507404916	0.20074023801067423	
Kompressor	Klopfen	Elektron	Riemen	0.6142857874081192	0.10286655888860913	
Vogel	Taktstock	Verdeck	Brosche	0.614277660753877	0.16916754549852683	
Tohuwabohu	Tanz	Kobra	Widerhaken	0.6140866409336228	0.1548922784513434	
Vogel	Taktstock	Bildnis	Möbelstück	0.6140588240951681	0.26320898619133126	
Funktelefon	Klaviatur	Inkubator	Paddel	0.6139867830010922	0.19915515982699458	
Pauke	Klaviatur	Zwerchfell	Karabiner	0.6138767820633729	0.19143090459584064	
Aufzug	Schlag	Stirn	Haken	0.6137922237887151	0.22432221874332475	
Brecher	Motorsäge	Tragfläche	Manschette	0.6136711894281842	0.26943279179248814	
Clown	Motorsäge	Tragfläche	Oberschenkel	0.6134830797458884	0.15879424561159064	
Fernsprecher	Klaviatur	Strichcode	Arbeitsgang	0.6133570188113096	0.16230951674257044	
Brecher	Fußtritt	Pulsader	Fingernagel	0.6133259036548874	0.19992805121855128	
Anrufer	Schlagwerk	Sonde	Daumen	0.6133015124807176	0.2115294187719406	
Spaßmacher	Anschlag	Sindelfinger	Steigeisen	0.6132732429080107	0.13761301460589823	
Gitarrist	Klaviatur	Flurstück	Stichsäge	0.6131257191431309	0.08664212220136026	
Ohrwurm	Klatschen	Mondkalb	Hacke	0.6130410204225537	0.2035357213611194	
Ohrwurm	Klopfen	Tropf	Ball	0.612864423919948	0.06661571624453808	
Clown	Rohrstock	Hinterleib	Oberschenkel	0.6128359770506095	0.14018884129790632	
Bombenleger	Rohrstock	Maisfeld	Spitzhacke	0.6127957069827232	0.16933144306051984	
Schmierfink	Hämmern	Botulismus	Widerhaken	0.6127749354545752	0.1553573656243966	
Vogel	Tanz	Kamel	Ball	0.6127647088328745	0.22454278689938634	
Entertainer	Streicheln	Edelstein	Befestigen	0.6126503530244868	0.18184345206001723	
Plagiator	Anschlag	Koloß	Abrollen	0.6125644824885096	0.1292081044265766	
Funkgerät	Klaviatur	Hohlraum	Keilriemen	0.6125507762641524	0.18260357074108946	
Hooligan	Klöppel	Pfahl	Fußknöchel	0.6125437470028281	0.09244028099155084	
Ohr	Fußtritt	Kinn	Unterarm	0.6124784351636985	0.16989409298167904	
Clown	Motorsäge	Gesicht	Tasche	0.6124261986946109	0.20637153287738208	
Tonband	Schlagstock	Hohlraum	Fußgelenk	0.6123472767431646	0.09798891785727953	
Bauchredner	Schlagstock	Muttermal	Schneebesen	0.6123442586917381	0.10018740652333971	
Spaßmacher	Nachschlag	Luftblase	Karabiner	0.6122722227332961	0.05686575749556214	
Redner	Klopfen	Kammer	Weben	0.6122126211302712	0.1529925940559436	
Piepser	Vibrieren	Uterus	Stichsäge	0.6121839162277992	0.19048770979275234	
Schmierfink	Anschlag	Fadenwurm	Fausthieb	0.6121714316856858	0.17055395253209218	
Videotext	Hämmern	Querkopf	Bolzen	0.6121427998931402	0.1587728882114606	
Funktionär	Klaviatur	Wohnstatt	Werkstück	0.6121251222815366	0.16083597709374117	
Trauergast	Hämmern	Schlot	Stichsäge	0.6119547792118182	0.18982824495513442	
Kuckuck	Fußtritt	Leopard	Karabiner	0.6119355437411149	0.2214368354985528	
Telegraf	Klöppel	Drehkreuz	Knobeln	0.6119230529606816	0.1519688782387339	
Sirene	Streicheln	Stachel	Karabiner	0.6118349468967336	0.12088687984044358	
Tonband	Klaviatur	Foliant	Bindfaden	0.6116725621987816	0.10067183253316649	
Augenzeuge	Anschlag	Kasino	Abrollen	0.6115398130734094	0.11945453609378232	
Gemurmel	Schlagwerk	Zwerchfell	Bolzen	0.6114988401850316	0.207614057994285	
Entertainer	Nachschlag	Scheinwerfer	Liegestütze	0.6114650142749306	0.17024687057167456	
Würger	Motorsäge	Heftchen	Schere	0.6114518001220061	0.14692063627804658	
Radio	Klatschen	Krone	Knobeln	0.6114163458644557	0.1683299053534496	
Musiker	Klaviatur	Stamm	Daumen	0.6111633113001157	0.2151547590012791	
Showmaster	Motorsäge	Heckklappe	Liegestütze	0.6111207383121111	0.14274607945693837	
Spruch	Klatschen	Deck	Paddel	0.6110873532829303	0.13979825563810477	
Sinto	Klopfen	Bluter	Abrollen	0.6110579351070685	0.21590264415947585	
Schuljunge	Taktstock	Sonnenbank	Anfertigen	0.6109214077794362	0.12820831828417797	
Reporter	Tanz	Brust	Haken	0.6108995958030327	0.1702544030605484	
Mitschnitt	Nachschlag	Muttermal	Bügeleisen	0.6108966140965651	0.1707198622082943	
Fernsprecher	Vibrieren	Wassergraben	Montieren	0.6106668065163934	0.1598287841959988	
Kompressor	Hämmern	Starterin	Befestigung	0.6105744187811438	0.054089538884305066	
Minister	Klaviatur	Datensatz	Befestigung	0.610566254391948	0.2112973073016014	
Jingle	Tanz	Souvenir	Knetmasse	0.6105297825702168	0.054296307970599735	
Protestler	Klöppel	Wasserkopf	Schnürsenkel	0.6104522147494041	0.2007576950479721	
Vogel	Klöppel	Beiboot	Hantel	0.6103276152693538	0.09422678399844553	
Musikbox	Taktstock	Zifferblatt	Möbelstück	0.6102555780956856	0.212457651151111	
Zwischenfall	Streicheln	Sonnenstich	Widerhaken	0.6101994957105393	0.1168747629627095	
Bombenleger	Motorsäge	Brandmauer	Abrollen	0.6100074665940177	0.21315412275494092	
Aufzug	Taktstock	Deck	Hand	0.6099582008861127	0.20124696827278368	
Fiedel	Hämmern	Sparre	Abrollen	0.6098552980305202	0.09056130004403573	
Beitrag	Taktstock	Schatzkammer	Tragekomfort	0.6098169597946638	0.2327901535557136	
Kanzlerin	Hämmern	Flanke	Befestigung	0.6098074827711836	0.06569331348263714	
Mitschüler	Streicheln	Meeresgrund	Verrutschen	0.6098068076397585	0.13208189653811012	
Hahnenschrei	Fußtritt	Schlangenbiß	Lidschlag	0.6097501806760252	0.12217991444310797	
Bauchredner	Motorsäge	Schlagader	Karabiner	0.6095913712674473	0.13250865954354418	
Ohrwurm	Nachschlag	Nautilus	Knobeln	0.6094853422511451	0.13992952261446379	
Clown	Taktstock	Sofa	Rucksack	0.609351902403128	0.2424860812677883	
Würger	Fußtritt	Bohrturm	Säbel	0.6092705963025148	0.11120802065051663	
Vorfall	Anschlag	Skelett	Fausthieb	0.6092106806507731	0.10911060546759581	
Ohr	Schlag	Sand	Schnur	0.6092075655546981	0.11249526441788255	
Protestler	Schlagstock	Leberfleck	Fausthieb	0.6091220971880202	0.18173523523041987	
Darsteller	Vibrieren	Visier	Aufhängen	0.6091063880532259	0.1432290450430801	
Sandmännchen	Schlagstock	Stirnlampe	Radiergummi	0.6090244810215298	0.1875112359543519	
Tonband	Fußtritt	Brustwehr	Befestigung	0.608957469951899	0.06658757683711312	
Vorfall	Hämmern	Mahnmal	Stichsäge	0.6089284582825506	0.14083394506774263	
Sinto	Anschlag	Zyanid	Säbel	0.6088995605576489	0.19756059442840684	
Sirene	Fußtritt	Feuerball	Bolzen	0.6088861776082847	0.09159782631849063	
Schwalbe	Klatschen	Pyjama	Einrad	0.6088187163825635	0.12111582305644494	
Plagiator	Rohrstock	Phallus	Widerhaken	0.6086326287755185	0.17122405770956017	
Kanzlerin	Tanz	Dreieck	Weben	0.6086009093698357	0.14603688923755595	
Reporterin	Rohrstock	Bullauge	Handkarren	0.6082268270364284	0.2052420603989937	
Clown	Rohrstock	Schlafsaal	Notizblock	0.6082159461775077	0.207993349547126	
Sender	Anschlag	Gestein	Bein	0.6080257301866584	0.15151215624909994	
Saal	Schlagstock	Siegel	Handschuh	0.6078317963259224	0.18491550469685689	
Saal	Taktstock	Madonna	Zaumzeug	0.6076710051511484	0.14317784625645455	
Piepser	Hämmern	Birkenstock	Paddel	0.6075414560234106	0.19443592255031847	
Sprachrohr	Klaviatur	Vorbau	Textile	0.6074888074369214	0.17357675534817413	
Würger	Schlagstock	Faultier	Fausthieb	0.6074710190351092	0.2283289108931164	
Schreihals	Rohrstock	Tragfläche	Keilriemen	0.6074632574970485	0.1630640431257968	
Augenzeuge	Fußtritt	Pentagon	Ellbogen	0.6074504481216408	0.24817667617445383	
Vogel	Motorsäge	Fleckchen	Tischdecke	0.6074480747610246	0.22523777352792662	
Ohr	Klöppel	Dock	Garn	0.6074363783574636	0.27393424637027264	
Zwischenfall	Fußtritt	Rachen	Schere	0.6073288372479538	0.10873036688031062	
Schuljunge	Rohrstock	Hundehütte	Stichsäge	0.6072976840711098	0.13580975328946165	
Mitschüler	Anschlag	Zitadelle	Verrutschen	0.6072490284309559	0.1479500972225417	
Musikbox	Motorsäge	Zifferblatt	Fußmatte	0.6070645839102895	0.19788986737027922	
Clown	Motorsäge	Brille	Rucksack	0.6069910795123575	0.26598478911500034	
Schüler	Tanz	Zentrum	Hand	0.6069785985955166	0.2229198358658336	
Schreihals	Rohrstock	Galgen	Schere	0.6068995445794779	0.1459421186583426	
Musikbox	Vibrieren	Kotflügel	Drehbank	0.6068762932209909	0.191643434718187	
Lautsprecher	Klatschen	Schatzkammer	Schreibfeder	0.6067770638262312	0.15911930810615876	
Kanzlerin	Klatschen	Fototermin	Steigeisen	0.6066565461139466	0.1658415629233234	
Singvogel	Schlagstock	Beuteltier	Fausthieb	0.6066127399890129	0.16546933133139227	
Krachen	Schlag	Kegel	Ball	0.60654098299974	0.024097759865713705	
Entertainer	Klatschen	Zwischenstop	Polsterung	0.6065118927485473	0.1702202159824904	
Moderator	Klatschen	Sonnenschein	Waschen	0.6064347585170372	0.20658274389854375	
Trinkspruch	Nachschlag	Speisekammer	Kochgeschirr	0.6063766204025075	0.1276232946897208	
Sprachrohr	Nachschlag	Edelstein	Befestigen	0.6063438469512059	0.16554210226377414	
Beitrag	Tanz	Mensa	Möbel	0.60617404699494	0.11628291291902029	
Funktionär	Klaviatur	Spurweite	Abrollen	0.6060791720210807	0.10671501609605202	
Hooligan	Klatschen	Felsgestein	Verrutschen	0.6060789565951145	0.11946358928021857	
Plagiator	Anschlag	Frostbeule	Widerhaken	0.6060194204988806	0.14357792126021093	
Musikbox	Motorsäge	Halstuch	Kissen	0.6059552077168692	0.224175587262109	
Tölpel	Klopfen	Höcker	Bolzen	0.6059388879722807	0.2022966468447341	
Bauchredner	Schlag	Turban	Messer	0.6059233429548175	0.1601810313615978	
Recorder	Klopfen	Absorber	Fixieren	0.605856073377526	0.13368474553072773	
Funktionär	Hämmern	Fragment	Befestigung	0.6057348344876449	0.12032522006941744	
Songtext	Klöppel	Starterin	Hacke	0.6056754852270189	0.20011904398391192	
Clown	Schlagstock	Apartment	Vorhängen	0.6056303669606016	0.1973121280580822	
Tonleiter	Klopfen	Hirnstamm	Werkstück	0.6055356612757744	0.2495188943462191	
Würger	Motorsäge	Kinn	Unterarm	0.6054719488927188	0.21924298739849898	
Papagei	Rohrstock	Eselsohr	Zaumzeug	0.6052412774513335	0.130572729532858	
Sänger	Klatschen	Gasse	Riemen	0.6052036660858984	0.23888317543588355	
Saal	Tanz	Abbild	Bekleidung	0.6051992637503915	0.14308001870454837	
Brecher	Rohrstock	Augenbraue	Kniescheibe	0.6051479634498669	0.2545832912887844	
Trinkspruch	Vibrieren	Tintenfaß	Bügeleisen	0.6051329755389895	0.1253196246554142	
Telegraf	Klaviatur	Sextant	Textile	0.6050975682636321	0.32159215996309026	
Autofahrer	Klatschen	Fackel	Accessoire	0.6050917172970505	0.10257681242198746	
Kuckuck	Schlag	Schnauze	Ellbogen	0.6050060022917041	0.19800762304811695	
Moderatorin	Tanz	Territorium	Befestigung	0.604959177867968	0.1514686664580467	
Musikbox	Taktstock	Mütze	Rucksack	0.6047206699786364	0.2159118411755764	
Zwischenfall	Anschlag	Wasserlassen	Abrollen	0.6047141373863937	0.10228617404433933	
Amokläufer	Fußtritt	Sturmtruppe	Abrollen	0.6045598594451452	0.20417349525346642	
Tonband	Klopfen	Aorta	Stichsäge	0.6045552325199978	0.18430287879692653	
Schuljunge	Schlagstock	Frontscheibe	Hosentasche	0.6044977258858103	0.2040155554026881	
Ventil	Nachschlag	Gebärmutter	Daumen	0.6044230618089009	0.17270359326886583	
Sprachrohr	Vibrieren	Zugbrücke	Riemen	0.6043991104667142	0.12061182511942743	
Funktionär	Klaviatur	Altarraum	Werkstück	0.6043879280104348	0.17147451759126345	
Bauchredner	Fußtritt	Felsbrocken	Fingernagel	0.6043873238323095	0.14458933142706337	
Lied	Nachschlag	Kiefer	Riemen	0.6043071834566752	0.15710548669688187	
Schmierfink	Anschlag	Exkrement	Stichsäge	0.6041818870234072	0.17603194920907692	
Ohr	Schlagwerk	Rille	Schnur	0.6040299582999832	0.04361417843935829	
Trinkspruch	Streicheln	Küchlein	Kneten	0.6039276989563639	0.2610575147570864	
Vogel	Klaviatur	Reflektor	Bügel	0.6038863305052949	0.17737730058801965	
Zeichentrick	Klatschen	Starterin	Befestigen	0.6038856498198499	0.1642518658291302	
Gitarrist	Hämmern	Hautarzt	Säbel	0.6038118764100215	0.23265998125035403	
Funktelefon	Schlagwerk	Scheinwerfer	Montieren	0.6037948086630052	0.1016789724454645	
Zeichentrick	Taktstock	Goldene	Kettchen	0.603772292181815	0.12395985623542564	
Showmaster	Schlagwerk	Seepferdchen	Bügeleisen	0.6036159149195899	0.18095966138590835	
Videotext	Vibrieren	Börsenblatt	Steigeisen	0.603559507087103	0.14949994886302276	
Monolog	Anschlag	Herzkammer	Riemen	0.6034421178351984	0.12721144096249537	
Redakteur	Schlagwerk	Fragment	Befestigung	0.6034022005034013	0.1612065094772536	
Showmaster	Streicheln	Supermodel	Kicks	0.6033543695084155	0.10605395185994465	
Showmaster	Schlagwerk	Rosenstock	Liegestütze	0.6033469083232962	0.19371003193312433	
Kompressor	Schlagwerk	Gebärmutter	Schrubber	0.6032324288465541	0.22186893906880145	
Liederhalle	Hämmern	Schienenbahn	Steigeisen	0.6031568672658946	0.08747609048169486	
Beitrag	Klatschen	Sonnenschein	Montieren	0.6031449731092534	0.14873460150427545	
Monolog	Schlagwerk	Zwerchfell	Bolzen	0.602994242011123	0.0990425347551821	
Vogel	Schlag	Gesicht	Handschuh	0.6029553157850814	0.2019132299848196	
Telefax	Klaviatur	Spital	Riemen	0.6029174127684832	0.2711798508444345	
Saal	Taktstock	Spalt	Griff	0.6028507891376765	0.10997442788895181	
Vogel	Klaviatur	Quarter	Gestell	0.6027594570755844	0.17524325680897018	
Darsteller	Tanz	Dreieck	Befestigung	0.6027580544089316	0.1488664215131846	
Hahnenschrei	Nachschlag	Köpfchen	Steigeisen	0.6026426253648939	0.1806358513535869	
Amokläufer	Hämmern	Pocke	Widerhaken	0.6025028002610413	0.08342527613432116	
Sandmännchen	Rohrstock	Stirnlampe	Fingerkuppe	0.602469659948967	0.18427836211878773	
Reporter	Schlag	Schlange	Schere	0.6024607235769309	0.12028562054559908	
Sandmännchen	Nachschlag	Treppchen	Montieren	0.6022861294293259	0.18144267453431448	
Metronom	Klaviatur	Inkubator	Webstuhl	0.6022306327279598	0.19389308946918607	
Hahnenschrei	Anschlag	Goldfinger	Verrutschen	0.6022108997422057	0.1376476598208602	
Pfiff	Schlag	Dicke	Kicks	0.602196874504528	0.10512811317715759	
Gerichtssaal	Schlagstock	Lidschatten	Kniescheibe	0.6021249035731148	0.13717979151403978	
Sprachrohr	Vibrieren	Flagschiff	Webstuhl	0.6019955516421375	0.16708205092453052	
Monolog	Hämmern	Floß	Bolzen	0.6016931337992175	0.11819226717921226	
Saal	Tanz	Kuppel	Kleidung	0.6016284336329317	0.258617492359237	
Bauchredner	Anschlag	Augenbraue	Unterarm	0.6014889236000526	0.22549378010871726	
Amokläufer	Anschlag	Kolosseum	Abrollen	0.6014729846928722	0.11308322375273439	
Redner	Klaviatur	Chrom	Paddel	0.6014609356502413	0.16063708503982033	
Besetzer	Schlagwerk	Gegengipfel	Steigeisen	0.6013527717938371	0.15963715630736347	
Musikbox	Taktstock	Fleckchen	Hosentasche	0.6012683935557713	0.19452969161388176	
Schuljunge	Taktstock	Tintenfaß	Bügeleisen	0.6012314571789622	0.10330119670482839	
Reporter	Schlag	Stirn	Bolzen	0.6011483044391479	0.14749302447941756	
Spaßmacher	Vibrieren	Standarte	Verrutschen	0.6010183691944407	0.16788826128387468	
Autokolonne	Rohrstock	Bruchbude	Abrollen	0.6009885430601767	0.17169098310968198	
Showmaster	Taktstock	Flagschiff	Sitzfläche	0.6009364953055947	0.21660800130081528	
Reporter	Schlagstock	Schleier	Vorhängen	0.6008036823408868	0.25219889520194444	
Papagei	Schlag	Pudel	Kettchen	0.6007904837074517	0.13278355111746548	
Saal	Motorsäge	Flagge	Hacke	0.6006521127293486	0.20565669181200558	
Zeichentrick	Schlagstock	Fleckchen	Satteltasche	0.6006013345012943	0.1681875009526965	
Sinto	Fußtritt	Infarkt	Karabiner	0.600406947691032	0.21846714139332254	
Saal	Tanz	Planet	Ball	0.6003998226635022	0.16589809004245007	
Pfiff	Klatschen	Diamant	Kicks	0.600397285213438	0.1900586718350989	
Videotext	Klaviatur	Fahrstreifen	Befestigung	0.6003766059557413	0.18525773480665997	
Brecher	Hämmern	Arterie	Stichsäge	0.6003173276294068	0.1752675503475526	
Wärter	Schlag	Kragen	Schere	0.6002043745143103	0.148739571688561	
Vogel	Tanz	Baum	Beutel	0.6001696657913153	0.2711445063525718	
Fernsprecher	Schlagwerk	Tragwerk	Werkstück	0.6000245973407378	0.09758419437523162	
Schmierfink	Anschlag	Gallenblase	Karabiner	0.6000098262982158	0.1613669590874456	
Pauke	Hämmern	Kamm	Haken	0.5999545179238708	0.05608041598042201	
Saal	Taktstock	Square	Möbel	0.5998520858497761	0.1942935741447317	
Lehrer	Tanz	Erde	Hand	0.5997990251717377	0.1346572184443234	
Minister	Schlagwerk	Zugbrücke	Befestigung	0.5997197696753852	0.11791064196755571	
Wortlaut	Klaviatur	Molekül	Garn	0.5996865874883891	0.1041295983183356	
Showmaster	Rohrstock	Hirschgeweih	Spitzhacke	0.5996855416372678	0.11451898902902537	
Feuerwerker	Klatschen	Ladenhüter	Aufhängen	0.5996625200583199	0.14931535596047638	
Besetzer	Anschlag	Oberhaut	Stichsäge	0.5995984506903085	0.15306815373799534	
Extremist	Fußtritt	Geschwür	Stichsäge	0.5995894459761347	0.19735944765221122	
Protestler	Anschlag	Polyp	Lidschlag	0.5995313836167424	0.13922300080604555	
Saal	Klöppel	Quarter	Bürste	0.5994869235979337	0.1598875282208494	
Extremist	Rohrstock	Totenkopf	Stichsäge	0.599462651265028	0.2535414027181319	
Gerichtssaal	Nachschlag	Wasserlassen	Stichsäge	0.5994517066526658	0.12114120198076385	
Gitarrist	Anschlag	Harnleiter	Ellbogen	0.599449768556581	0.1369702229428604	
Reporter	Motorsäge	Augenlid	Oberschenkel	0.5994435461255773	0.22627251322826158	
Mitschüler	Hämmern	Zitadelle	Abrollen	0.5993265560667913	0.1795274485650856	
Schmierfink	Fußtritt	Schnellbahn	Verrutschen	0.5991942963082686	0.19180476656920803	
Sandmännchen	Tanz	Signet	Sitzfläche	0.5991939588398553	0.21958552940620515	
Vogel	Schlagstock	Fleckchen	Kissen	0.599180544707671	0.26114465723406904	
Grunzen	Fußtritt	Gebärmutter	Stichsäge	0.5991804339290858	0.21829197303830042	
Beitrag	Tanz	Glas	Möbel	0.5991463119614998	0.2031451272544846	
Wärter	Anschlag	Eiter	Abrollen	0.5991131509221029	0.15614606251963714	
Extremist	Anschlag	Haubitze	Widerhaken	0.5990836993121843	0.11854426062403434	
Autokolonne	Fußtritt	Leitplanke	Spitzhacke	0.59908104578507	0.14782125035661314	
Amokläufer	Klopfen	Luftblase	Bolzen	0.5989534276186913	0.06776117711030875	
Singvogel	Rohrstock	Beuteltier	Fußgelenk	0.5989518691167427	0.15895876190355973	
Extremist	Schlag	Tunnel	Abrollen	0.5987212674990561	0.20088296143223386	
