Table 1
word	Final_rating																	
Territorium	bad																	
Mantel	bad																	
Wasser	bad																	
Gestein	mid																	
Brustwehr	bad																	
Kleeblatt	bad																	
Sonnenschein	bad																	
Brückenkopf	bad																	
Hüttenwerk	bad																	
Wegweiser	bad																	
Gallenblase	bad																	
Kegel	bad																	
Nordstadt	bad																	
Sonnenbank	bad																	
Appartment	bad																	
Kirschwasser	bad																	
Anlegestelle	bad																	
Vorplatz	bad																	
Basar	bad																	
Zelle	mid																	
Hülsenfrucht	bad																	
Dachboden	bad																	
Weingärtner	bad																	
Frikadelle	bad																	
Kutte	bad																	
Plätzchen	bad																	
Schlafraum	bad																	
Grab	good																	
Bastion	bad																	
Hochstraße	bad																	
Polyeder	bad																	
Fußspur	bad																	
Gaswerk	bad																	
Kobra	bad																	
Gebärmutter	bad																	
Hieroglyphe	bad																	
Okular	bad																	
Mumie	good																	
Uniform	bad																	
Rumpf	bad																	
Talisman	bad																	
Kokain	bad																	
Sensor	good																	
Exkrement	bad																	
Fototermin	bad																	
Verdeck	good																	
Larve	bad																	
Feuerkugel	bad																	
Blüte	bad																	
Grabmal	good																	
Schneeball	bad																	
Samenkorn	bad																	
Sonnenblume	bad																	
Kavallerist	bad																	
Schweif	mid																	
Baldrian	bad																	
Stalaktit	bad																	
Kopeke	bad																	
Herd	bad																	
Kabeljau	bad																	
Dampfboot	bad																	
Kuppel	mid																	
Flocke	bad																	
Rote	bad																	
Qualm	bad																	
Schiebedach	bad																	
Gift	bad																	
Stamm	good																	
Bildnis	good																	
Lichthof	bad																	
Bindehaut	bad																	
Natter	good																	
Schalotte	mid																	
Teleskop	bad																	
Boot	bad																	
Garnison	bad																	
Schimmel	bad																	
Yoghurt	bad																	
Hühnerauge	bad																	
Schatzhaus	bad																	
Getränk	bad																	
Bodega	bad																	
Kristall	mid																	
Büschel	bad																	
Fontäne	mid																	
Busen	bad																	
Currywurst	bad																	
Galgen	bad																	
Heidekraut	bad																	
Kohlenhydrat	bad																	
Halstuch	bad																	
Foliant	bad																	
Zusatzstoff	bad																	
Krater	good																	
Zitronengras	bad																	
Verlies	good																	
