Words	Pseudowords	n_Syllables	Bewertung	Included	Include? 	Pilot	Sound	Action	Hand Act	Hand is dominant	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Visuell	Visuell_SD	Vertrautheit	Vertrautheit_SD	Letters	Lemma_freq	Neighbors	Bigram_freq	Trigram_freq	Natural	Living	Animate	CongResp_S_Prop	CongResp_S_Prop (philosopher exluded)	RT_S_Mean	CongResp_A_Prop	CongResp_A_Prop (philosopher exluded)	RT_A_Mean	LDT_CorrResp_Prop	LDT_RT_Mean	CorrResp_Prop_PW	RT_Mean_PW		First_Miniblock_OddSubs	First_Miniblock_EvenSubs	Rating_Study	Unbekannt_GE	Unbekannt_HA	Unbekannt_VI	Pros	Cons			Phil Comments	Comments Phil	Comments Marie	Comments Gesa						Foot Act	Mouth Act			Category 	AF	Act	Kiefer		Kategorie 		Syllables_raw		Vertrautheit (ORIGINAL)	Geraeusch_SE	Handlung_SE	Visuell_SE	Vertrautheit_SE		RT_S_Sum	CongResp_S_Sum	NonNaNTrials_S	RT_A_Sum	CongResp_A_Sum	NonNaNTrials_A	RT_Sum_W	CorrResp_Sum_W	NonNaNTrials_W	RT_Sum_PW	CorrResp_Sum_PW	NonNaNTrials_PW			
Tröte	Präte	2	1	1		1	1	1	1	0,5	5,81	0,68	5,16	1,21	2,32	1,16	4,81	1,54	5	3,41	6,04	259802,03	133616,95	0	0	0	1,00	1,00	753,00	1,00	1,00	840,08	1,00	778,75	0,92	724,83		A	S					very high AF	not in dlexdb																o	1	1	0				ki-no		5,94	0,21	0,42	0,27	0,08		9036	12	12	10081	12	12	9345	12	12	8698	11	12			
Wellensittich	Sillennettich	4	2	1		1	1	0			4,20		2,33		4,87		5,63	0,65	13	0,81	0,86	598266,23	176372,35	1	1	1	0,58	0,64	955,25	0,67	0,64	996,58	1,00	643,25	1,00	1062,92		S	A	NachR_VE				very high AF	probably lexicalized compound	very long	not very low Act	Notfall x			finde ich ok										a	1	0,8	1				bie-ne		4,93	0,30	0,10	0,43	0,47		11463	7	12	11959	8	12	7719	12	12	12755	12	12			
Spatz	Spags	1	2	1	x	1	1	0			3,93		1,53		4,53		6,00	0,00	5	2,62	5,99	63816,22	36237,59	1	1	1	0,67	0,64	815,92	1,00	1,00	761,75	1,00	594,08	0,92	802,00		A	S	NachR_VE					not very high AF																a	0,5	0,2	0						5,61	0,35	0,28	0,31	0,20		9791	8	12	9141	12	12	7129	12	12	9624	11	12			
Kajak	Tajah	2	2	1		1	0	1	1	1	1,40		4,67		4,13		4,52	1,54	5	0,11	4,71	24710,58	21500,11	0	0	0	1,00	1,00	926,67	0,75	0,82	951,25	1,00	685,50	1,00	796,58		S	A					very low AF													0	1			f	n		1				blau-bee-re		4,00						11120	12	12	11415	9	12	8226	12	12	9559	12	12			
Gebläse	Vekräle	3	3	1		1	1	0			4,94	1,24	2,94	1,39	1,80	1,32	4,88	1,45	7	0,47	2,57	210971,48	161860,54	0	0	0	0,83	0,82	884,00	0,58	0,55	1041,42	1,00	713,67	1,00	779,50		A	S					very high AF				Notfall x (not very low Act, but intuitively not strongly associated with actions)													a	0,5	0,2	0						5,31						10608	10	12	12497	7	12	8564	12	12	9354	12	12			
Rotor	Wotar	2	3	1		1	1	0			4,29	1,40	2,94	1,71	3,06	1,43	4,11	1,45	5	0,41	3,00	149348,45	125917,37	0	0	0	0,58	0,64	909,00	0,83	0,82	1064,92	0,83	783,92	0,83	765,92		S	A					very high AF				Notfall x (not very low Act, but intuitively not strongly associated with actions)													a	0	0	0				karp-fen		4,75						10908	7	12	12779	10	12	9407	10	12	9191	10	12			
Taube	Zaure	2	3	1	x	1	1	0			3,81	1,38	1,63	0,62	4,31	1,54	5,75	0,45	5	8,73	11,56	218095,09	145714,91	1	1	1	0,67	0,64	912,83	0,92	0,91	898,58	1,00	594,50	0,92	721,83		S	A						not very high AF																					Hilfsmittel		lei-ter		5,71	0,19	0,21	0,35	0,12		10954	8	12	10783	11	12	7134	12	12	8662	11	12			
Fundament	Äsgamenz	3	3	1	MAN-MADE	1	0	0			1,00		1,80		2,40		5,05	1,36	9	11,24	2,57	474188,97	147037,80	0	0	0	1,00	1,00	774,58	0,92	0,91	896,25						A	S					"very low AF; not highly visual"	quite abstract						zu abstrakt?										o	0	1	0				ei-mer		5,75						9295	12	12	10755	11	12	0	0	0	0	0	0			
Rochen	Bichen	2	1	1		1	0	0			1,38	0,50	1,50	1,32	4,31	1,78	5,06	1,12	6	0,56	14,13	565006,15	388593,13	1	1	1	0,92	0,91	799,08	1,00	1,00	753,58	0,83	779,33	1,00	870,75		A	S					very low AF																						Natur 				4,24	0,29	0,19	0,46	0,46		9589	11	12	9043	12	12	9352	10	12	10449	12	12			
Rinne	Binze	2	3	1	MAN-MADE	1	0	0			1,87	0,92	2,13	1,25	3,38	1,60	4,86	1,28	5	2,19	10,27	278930,07	159931,43	0	0	0	1,00	1,00	883,83	1,00	1,00	1054,83						A	S	3	0,00	0,00	0,00		nicht sehr low Act																a	1	0,5	0				e-sel		5,56	0,08	0,34	0,32	0,13		10606	12	12	12658	12	12	0	0	0	0	0	0			
Zwetschge	Dritschge	2	2	1	NATURAL	1	0	1	1	0,8	1,00		4,07		4,53		5,50	0,83	9	0,28	0,86	417326,85	187357,07	1	0	0	0,92	0,91	983,42	0,58	0,64	1232,33						S	A	NachR_VE				very low AF	food (only appear as low AF)																a	0	0	0				au-ster		4,81	0,49	0,30	0,41	0,13		11801	11	12	14788	7	12	0	0	0	0	0	0			
Kuchen	Dusten	2	1	1	"highly similar concept to ""Torte"" -> choose one"	1	0	1	1	0,8	1,33	0,59	4,89	1,08	3,83	1,50	5,83	0,51	6	9,59	12,84	571890,60	395254,39	0	0	0	1,00	1,00	731,42	0,75	0,73	1084,58	1,00	660,83	1,00	763,17		S	A					very low AF	food (only appear as low AF)																					Pflanze		pri-mel		4,33	0,05	0,19	0,38	0,37		8777	12	12	13015	9	12	7930	12	12	9158	12	12			
Ente	Esle	2	2	1		0	1	0			4,38	1,02	2,25	1,34	4,38	1,09	5,56	1,09	4	5,40	14,98	249930,24	181183,25	1	1	1							1,00	614,75	0,83	881,00		S	A					very high AF	not very low Act			x													o	0,2	1	0						5,88	0,44	0,41	0,39	0,26		0	0	0	0	0	0	7377	12	12	10572	10	12			
Geläut	Gesäun	2	4	1	"nur wenn nötig (im Pilot für Handlung gleich viele inkongruente & kongruente Antworten) NATURAL; ANIMATE"	1	1	0			5,44	1,21	3,07	1,94	1,60	1,12	4,56	1,31	6	1,55	1,28	152635,03	111973,73	0	0	0	0,92	0,91	770,33	0,50	0,45	1024,67	0,83	762,42	1,00	970,17		S	A					very high AF	musical instr (only appear as high AF)	quite abstract		Notfall x (not very low Act, but intuitively not strongly associated with actions)													o	0,5	1	0						5,44	0,26	0,14	0,46	0,32		9244	11	12	12296	6	12	9149	10	12	11642	12	12			
Brandung	Grannung	2	4	1	"recht abstrakt; INANIMATE"	0	1	0			4,48	1,59	1,57	0,90	3,67	1,62	5,05	1,07	8	2,40	2,57	279687,47	104630,02	1	0	0												A	S	3	0,00	0,00	0,00		konkretes Objekt?																a	0	0	0				pi-ran-ha		5,25	0,31	0,20	0,18	0,23		0	0	0	0	0	0	0	0	0	0	0	0			
Marder	Harser	2	2	1		1	0	0			1,87	1,10	1,39	0,72	3,71	1,52	5,43	0,81	6	0,63	10,70	432365,20	263332,01	1	1	1	1,00	1,00	865,67	0,92	0,91	788,92	0,83	762,83	1,00	687,25		S	A	3	0,00	0,00	0,00																		o	0	0	1				pla-kat		5,00	0,13	0,33	0,44	0,28		10388	12	12	9467	11	12	9154	10	12	8247	12	12			
Margerite	Hilberite	4	1	1		1	0	0			1,00	0,00	1,96	1,36	4,29	1,68	4,67	1,20	9	0,38	2,57	542744,44	194490,00	1	1	0	1,00	1,00	946,33	1,00	1,00	1113,50	0,83	1194,42	0,92	917,17		A	S	3	1,00	0,00	0,00						möglw. nicht sehr vertraut / frequent																					5,52	0,27	0,23	0,36	0,19		11356	12	12	13362	12	12	14333	10	12	11006	11	12			
Möwe	Hüwe	2	1	1	nur wenn nötig (im Pilot für Geräusch gleich viele inkongruente & kongruente Antworten)	1	1	0			4,13		1,20		4,67		5,83	0,56	4	3,08	5,14	165130,87	146402,94	1	1	1	0,50	0,45	885,50	1,00	1,00	974,67	1,00	637,33	1,00	777,58		S	A	NachR_VE				very high AF																	o	0,2	1	0						6,00						10626	6	12	11696	12	12	7648	12	12	9331	12	12			
Mango	Kando	2	2	1	NATURAL	1	0	1	1	0,8	1,33		4,00		4,40		5,96	0,20	5	0,20	14,98	108727,29	32688,65	1	0	0	1,00	1,00	898,25	0,67	0,73	971,92						A	S	NachR_VE				very low AF	food (only appear as low AF)													1			f	0	1	1				pe-pe-ro-ni		4,40	0,25	0,28	0,32	0,37		10779	12	12	11663	8	12	0	0	0	0	0	0			
Plakette	Klafatte	3	2	1		1	0	0			1,00		2,00		3,67		5,63	0,88	8	0,78	0,86	280006,21	174522,98	0	0	0	0,92	0,91	991,92	0,67	0,64	1117,83	0,92	682,17	0,92	851,25		S	A	NachR_VE				very low AF																	o	0	0,5	0						5,63						11903	11	12	13414	8	12	8186	11	12	10215	11	12			
Pfeiler	Kneiles	2	3	1	MAN-MADE	1	0	0			1,05		2,40		3,75		5,54	0,83	7	6,10	4,28	426151,73	211577,22	0	0	0	1,00	1,00	764,08	1,00	1,00	898,58						S	A	NachR_VE				very low AF				x (kein sehr niedriges Act-Rating, aber intuitiv nicht stark mit motorischen Handlungen assoziiert)																		menschengemachtes Objekt		ru-te		5,05	0,26	0,32	0,33	0,30		9169	12	12	10783	12	12	0	0	0	0	0	0			
Kartoffel	Konsoffel	3	2	1	NATURAL	1	0	1	1	0,8	1,19	0,54	4,25	1,48	4,13	1,59	6,00	0,00	9	23,81	1,71	122215,51	42915,28	1	0	0	1,00	1,00	755,33	0,67	0,64	916,08	1,00	611,17	1,00	866,75		S	A					very low AF	food (only appear as low AF)																a	0	0,5	1						4,57	0,06	0,24	0,39	0,35		9064	12	12	10993	8	12	7334	12	12	10401	12	12			
Lautsprecher	Leifstrecher	3	4	1	besser nicht (im Pilot für Handlung mehr inkongruente Antworten als kongruente)	1	1	0			5,53		2,07		2,86		5,88	0,45	12	5,38	1,71	574902,86	255788,66	0	0	0	1,00	1,00	817,67	0,33	0,36	1011,17	1,00	604,33	0,92	1116,83		A	S	NachR_VE				very high AF	probably lexicalized compound	very long	not very low Act	Notfall x			finde ich ok										o	0	1	0				pup-pe		5,81	0,23	0,14	0,23	0,19		9812	12	12	12134	4	12	7252	12	12	13402	11	12			
Biber	Mäber	2	1	1		1	0	0			1,87		1,53		4,60		5,05	1,32	5	1,55	13,70	343016,31	224557,62	1	1	1	0,92	0,91	842,17	1,00	1,00	800,67	1,00	676,25	1,00	708,42		A	S						not very low AF	very low action															a	0,2	0	0						5,56	0,33	0,22	0,28	0,26		10106	11	12	9608	12	12	8115	12	12	8501	12	12			
Mast	Maff	1	3	1	MAN-MADE	1	0	0			1,26	0,54	2,43	1,38	4,10	1,55	5,19	1,08	4	4,98	30,82	169312,72	118871,48	0	0	0	1,00	1,00	748,50	1,00	1,00	935,92						A	S	3	0,00	0,00	0,00		nicht eindeutig low Act																o	1	1	0				re-vol-ver		5,28	0,29	0,18	0,36	0,31		8982	12	12	11231	12	12	0	0	0	0	0	0			
Seil	Mieb	1	2	1		1	0	1	1	1	1,38	0,62	4,25	1,34	3,81	1,72	5,69	1,01	4	7,49	29,11	139786,43	49556,00	0	0	0	1,00	1,00	785,42	0,83	0,82	949,33						S	A					very low AF																						Kleidung				4,33	0,10	0,29	0,31	0,42		9425	12	12	11392	10	12	0	0	0	0	0	0			
Atlas	Nulos	2	2	1		1	0	1	1	1	1,26	0,62	4,26	1,42	4,62	1,36	5,48	0,87	5	3,64	3,42	123118,48	99857,17	0	0	0	0,92	0,91	722,83	0,75	0,82	857,08	1,00	644,67	1,00	746,33		A	S	3	0,00	0,00	0,00																		a	0,5	0	0						5,50	0,15	0,26	0,31	0,18		8674	11	12	10285	9	12	7736	12	12	8956	12	12			
Pferd	Pfeks	1	2	1	"NATURAL; ANIMATE"	1	1	1	1	1	3,93		3,93		4,93		6,00	0,00	5	76,31	6,42	241229,19	59237,11	1	1	1	0,75	0,73	799,83	0,50	0,45	826,83	1,00	567,92	1,00	835,58		S	A	NachR_VE				animal (have too little natural items among high AF, high Act)	not very high AF													1			m	1	1	1				o-bo-e		4,81						9598	9	12	9922	6	12	6815	12	12	10027	12	12			
Gürtel	Pirtel	2	1	1		1	0	1	1	1	1,78	1,00	4,91	1,04	4,43	1,40	5,86	0,36	6	6,79	4,71	164429,93	44993,08	0	0	0	1,00	1,00	776,25	1,00	1,00	842,75	1,00	654,33	1,00	780,00		A	S	3	0,00	0,00	0,00																		o	1	1	0				bag-ger		5,38						9315	12	12	10113	12	12	7852	12	12	9360	12	12			
Zwiebel	Plaubel	2	2	1	NATURAL	1	0	1	1	0,8	1,13		3,87		4,53		6,00	0,00	7	10,50	2,57	198597,89	39841,26	1	0	0	1,00	1,00	798,42	0,58	0,55	883,92						A	S	NachR_VE				very low AF	food (only appear as low AF)	not very high Act																				Einrichtung				5,76	0,27	0,28	0,34	0,14		9581	12	12	10607	7	12	0	0	0	0	0	0			
Portrait	Portrame	2	2	1	MAN-MADE	1	0	0			1,00		1,67		5,20		5,79	0,59	8	1,10	2,57	204082,58	119815,63	0	0	0	1,00	1,00	757,25	0,92	0,91	1082,75						S	A	NachR_VE				very low AF	highly visual																					Kleidung		hemd		5,86	0,10	0,23	0,34	0,08		9087	12	12	12993	11	12	0	0	0	0	0	0			
Auster	Pucher	2	1	1		1	0	0			1,19	0,40	1,94	0,77	3,69	1,49	4,81	1,38	6	3,38	11,99	444581,63	251413,80	1	1	0	1,00	1,00	705,08	0,83	0,82	833,50	1,00	739,08	0,92	761,50		A	S					very low AF																	a	0,5	0,2	0						5,38	0,34	0,14	0,33	0,06		8461	12	12	10002	10	12	8869	12	12	9138	11	12			
Schnecke	Schrezle	2	1	1		0	0	0			1,00		1,53		4,93		5,92	0,28	8	9,29	4,71	373486,23	181049,81	1	1	1							1,00	637,58	1,00	758,75		S	A	NachR_VE				very low AF	highly visual																o	0	0	1				leit-plan-ke		5,19	0,18	0,14	0,24	0,13		0	0	0	0	0	0	7651	12	12	9105	12	12			
Käfer	Sifer	2	1	1		0	0	0			1,73		1,80		4,33		6,00	0,00	5	5,84	5,14	303140,95	207715,55	1	1	1							1,00	631,33	1,00	783,00		A	S	NachR_VE						very low action															o	0	1	0				kar-ton		5,89	0,16	0,35	0,45	0,25		0	0	0	0	0	0	7576	12	12	9396	12	12			
Schabe	Strame	2	2	1		1	0	0			1,88	1,02	1,56	0,51	3,44	1,46	4,69	1,58	6	1,10	9,42	367995,83	187702,79	1	1	1	1,00	1,00	858,58	1,00	1,00	833,25	0,92	711,92	1,00	769,33		S	A						not very low AF	very low action																				Kleidung				5,90	0,22	0,25	0,28	0,07		10303	12	12	9999	12	12	8543	11	12	9232	12	12			
Skulptur	Stumptum	2	1	1	MAN-MADE	1	0	0			1,00		1,33		4,87		5,75	0,74	8	4,71	1,71	170180,68	145275,94	0	0	0	1,00	1,00	736,92	0,67	0,73	1096,75	1,00	700,08	0,92	824,58		S	A	NachR_VE				very low AF	highly visual																m	1	1	1				kon-tra-bass		5,05	0,24	0,44	0,43	0,22		8843	12	12	13161	8	12	8401	12	12	9895	11	12			
Banane	Takafe	3	2	1	NATURAL	1	0	1	1	0,8	1,20		4,20		4,73		5,96	0,20	6	3,26	4,71	293302,58	165739,01	1	0	0	1,00	1,00	770,50	0,67	0,64	966,58	1,00	588,58	1,00	716,25		A	S	NachR_VE				very low AF	food (only appear as low AF)		highly visual														a	0,8	0,5	0						5,44	0,18	0,39	0,43	0,06		9246	12	12	11599	8	12	7063	12	12	8595	12	12			
Himbeere	Tisteere	3	2	1	NATURAL	1	0	1	1	0,8	1,00		4,13		4,93		5,96	0,20	8	1,29	2,14	407858,34	161743,24	1	0	0	1,00	1,00	820,67	0,58	0,55	879,83	1,00	590,08	1,00	806,25		S	A	NachR_VE				very low AF	food (only appear as low AF)		highly visual														m	1	1	1				cel-lo		4,95						9848	12	12	10558	7	12	7081	12	12	9675	12	12			
Sirene	Torefe	3	1	1	"nur wenn nötig (im Pilot für Handlung gleich viele inkongruente & kongruente Antworten) NATURAL; ANIMATE"	1	1	0			5,88		1,63		1,63		5,48	0,81	6	3,63	5,14	436207,16	191500,44	0	0	0	1,00	1,00	758,25	0,50	0,45	1032,33	0,92	735,58	1,00	769,50		A	S					very high AF					Vertrautheit seltsamerweise sehr niedrig -> nochmal raten?									1			f	0	1	0				pi-sta-zie		5,67						9099	12	12	12388	6	12	8827	11	12	9234	12	12			
Maske	Toske	2	2	1		1	0	1	1	1	1,13	0,34	4,25	1,61	5,13	1,09	5,19	1,52	5	16,23	14,98	184854,71	152558,98	0	0	0	1,00	1,00	727,42	0,92	0,91	992,00	1,00	646,08	1,00	738,58		S	A					very low AF	highly visual																a	0	0	0				ga-zel-le		4,94	0,31	0,23	0,39	0,20		8729	12	12	11904	11	12	7753	12	12	8863	12	12			
Abbildung	Undilgung	3	4	1	MAN-MADE	1	0	0			1,07		1,67		4,53		5,75	0,61	9	16,48	0,86	178401,10	96428,91	0	0	0	1,00	1,00	745,25	0,75	0,73	1141,50						S	A	NachR_VE				very low AF	recht abstrakt						Konkret genug?															Pflanze		ast		5,67	0,25	0,21	0,34	0,12		8943	12	12	13698	9	12	0	0	0	0	0	0			
Bumerang	Wunerall	3	2	1		1	0	1	1	1	2,00		5,13		4,60		4,57	1,63	8	0,29	0,43	344400,82	80070,80	0	0	0	0,82	0,80	967,45	0,83	0,91	886,67						A	S						not very low AF												1				o	1	1	0				dis-co		5,57						10642	9	11	10640	10	12	0	0	0	0	0	0			
Dach	Zaßt	1	1	1	"MAN-MADE; Gesa: ""Dach"" und ""Dachs"" sollten aufgrund der Ähnlichkeit in verschiedene Listen"	1	0	0			1,07		1,60		4,20		6,00	0,00	4	32,19	24,83	203901,32	112343,48	0	0	0	1,00	1,00	798,67	0,92	0,91	1014,58	1,00	585,17	1,00	737,17		S	A	NachR_VE				very low AF														1			f	0	1	1				au-ber-gi-ne		3,47						9584	12	12	12175	11	12	7022	12	12	8846	12	12			
Pullover	Äsrower	3	1	0,93		1	0	1	1	1	1,26	0,54	4,74	1,25	4,48	1,50	5,86	0,36	8	3,88	2,14	330143,66	213297,60	0	0	0	0,92	0,91	770,58	0,67	0,64	991,75	1,00	592,00	0,92	781,67				3	0,00	0,00	0,00																		a	0	0	0				an-ti-lo-pe		4,88						9247	11	12	11901	8	12	7104	12	12	9380	11	12			
Termite	Bertate	3	1	0,93	Gesa: Ist sehr ähnlich zu Ameise -> wenn beide Included, dann verschiedene Listen	1	0	0			1,60	0,83	1,27	0,46	3,29	1,59	4,31	1,54	7	1,32	1,71	440509,28	180259,46	1	1	1	0,92	0,91	918,33	1,00	1,00	923,83	0,75	927,75	1,00	867,50										very low action															a	0,5	0	0						4,72	0,19	0,31	0,34	0,28		11020	11	12	11086	12	12	11133	9	12	10410	12	12			
Cembalo	Cobmalo	3	1	0,93		1	1	1	1	1	5,47		4,47		3,33		4,00	2,02	7	0,93	3,00	64853,24	11010,25	0	0	0	0,92	0,91	847,00	0,92	0,91	863,83	0,67	721,92	1,00	942,42								very high AF	musical instr (only appear as high AF)																o	n		1				iso-mat-te		4,93						10164	11	12	10366	11	12	8663	8	12	11309	12	12			
Plakat	Dranat	2	1	0,93	"nur wenn nötig (im Pilot für Handlung gleich viele inkongruente & kongruente Antworten); aber: MAN-MADE"	1	0	0			1,00		1,87		4,80		5,88	0,45	6	13,73	3,42	136838,87	101441,81	0	0	0	1,00	1,00	709,08	0,50	0,55	979,50	1,00	627,25	1,00	825,17				NachR_VE				very low AF	highly visual													1			m	1	1	0				fa-gott		4,94	0,31	0,16	0,27	0,29		8509	12	12	11754	6	12	7527	12	12	9902	12	12			
Elch	Drun	1	1	0,93	besser nicht (im Pilot für Geräusch mehr inkongruente Antworten als kongruente)	1	1	0			4,06	1,21	1,11	0,32	5,22	0,65	5,56	0,70	4	0,56	7,71	185548,39	94825,14	1	1	1	0,42	0,45	941,00	1,00	1,00	712,67	1,00	586,67	1,00	661,92								very high AF																	o	0	1	0				an-gel		5,67						11292	5	12	8552	12	12	7040	12	12	7943	12	12			
Otter	Emtes	2	1	0,93		1	0	0			1,74	0,75	1,13	0,34	3,86	1,74	5,24	1,09	5	0,40	7,71	371645,07	219330,57	1	1	1	0,67	0,64	806,83	1,00	1,00	816,42		621,17	1,00	730,67				3	0,00	0,00	0,00														0,5	0				1	1	1				schna-ke		5,07						9682	8	12	9797	12	12	7454	0	12	8768	12	12			
Ananas	Enadis	3	2	0,93	NATURAL	1	0	1	1	0,8	1,07		4,00		5,00		5,92	0,28	6	1,19	4,71	174957,33	103196,34	1	0	0	1,00	1,00	713,83	0,58	0,55	881,33	1,00	593,67	0,92	689,58				NachR_VE				very low AF	food (only appear as low AF)		highly visual														m	1	0,5	1				me-tro-nom		3,31	0,18	0,25	0,35	0,25		8566	12	12	10576	7	12	7124	12	12	8275	11	12			
Abzeichen	Erkiechen	3	4	0,93	"MAN-MADE; Notfall x (abstrakt, aber konkreter als Abbildung)"	1	0	0			1,13		2,00		4,20		5,75	0,61	9	3,74	3,00	713450,44	447736,53	0	0	0	1,00	1,00	813,50	0,58	0,55	1025,67								NachR_VE				very low AF			low action				Konkret genug?										o	1	1	0				kut-sche		5,56						9762	12	12	12308	7	12	0	0	0	0	0	0			
Geröll	Gedüll	2	3	0,93	besser nicht (im Pilot für Geräusch mehr inkongruente Antworten als kongruente)	1	1	0			4,22	1,51	1,57	0,95	3,10	1,41	5,10	1,18	6	1,74	3,85	227314,51	41118,98	1	0	0	0,42	0,45	999,00	1,00	1,00	918,17	0,92	827,17	0,92	845,17				3	0,00	0,00	0,00		konkretes Objekt?																					Nahrungsmittel		wurst		5,76	0,10	0,31	0,44	0,12		11988	5	12	11018	12	12	9926	11	12	10142	11	12			
Gemälde	Gemohle	3	1	0,93	"nur wenn nötig (im Pilot für Handlung gleich viele inkongruente & kongruente Antworten); aber: MAN-MADE"	1	0	0			1,00		1,93		5,73		5,83	0,56	7	16,82	3,85	280868,54	165400,00	0	0	0	1,00	1,00	734,92	0,50	0,55	911,67	1,00	647,00	1,00	822,67				NachR_VE				very low AF	highly visual																p	0	0	0				bir-ke		5,19	0,30	0,40	0,36	0,14		8819	12	12	10940	6	12	7764	12	12	9872	12	12			
Antilope	Hurigoje	4	2	0,93		1	0	0			2,00	1,03	1,19	0,54	3,69	1,70	4,88	1,59	8	1,12	1,28	220832,60	157916,29	1	1	1	1,00	1,00	944,67	1,00	1,00	765,58	1,00	684,83	1,00	818,50										very low action															o	0,5	1	0						5,94						11336	12	12	9187	12	12	8218	12	12	9822	12	12			
Orange	Ibinge	3	3	0,93	NATURAL	1	0	1	1	0,8	1,56	0,81	3,88	1,31	4,81	1,64	5,81	0,54	6	4,03	6,42	301726,67	163528,27	1	0	0	0,92	0,91	835,42	0,58	0,55	881,25													food (only appear as low AF)	highly visual															m	1	1	1				ban-jo		4,00						10025	11	12	10575	7	12	0	0	0	0	0	0			
Kommode	Kaffode	3	1	0,93		1	0	1	1	1	1,56	0,78	4,56	1,34	4,00	1,64	5,78	0,55	7	3,28	2,14	270843,47	163695,98	0	0	0	0,83	0,91	941,25	0,67	0,64	1041,00	1,00	614,50	1,00	775,33																														Natur 				5,76	0,32	0,21	0,25	0,12		11295	10	12	12492	8	12	7374	12	12	9304	12	12			
Hornisse	Korzesse	3	3	0,93	nur wenn nötig (im Pilot für Geräusch gleich viele inkongruente & kongruente Antworten)	1	1	0			3,69	1,49	1,56	0,81	4,69	1,40	5,44	1,09	8	0,78	0,43	276129,73	165135,08	1	1	1	0,50	0,45	906,25	0,92	0,91	812,50	0,92	691,25	0,92	855,92									not high AF			ja (intuitiv high AF)													o	0	1	0				klad-de		3,11						10875	6	12	9750	11	12	8295	11	12	10271	11	12			
Vulkan	Kunkon	2	2	0,93	besser nicht (im Pilot für Geräusch mehr inkongruente Antworten als kongruente)	1	1	0			3,95	1,40	1,16	0,37	5,68	0,58	5,10	1,37	6	3,27	4,28	259837,63	216121,04	1	0	0	0,42	0,45	882,08	0,92	0,91	920,00	1,00	611,58	0,92	832,17								pretty high AF	not very high AF																o	0,5	1	0						5,00	0,96	0,50	0,65	0,36		10585	5	12	11040	11	12	7339	12	12	9986	11	12			
Laus	Lees	1	1	0,93		1	0	0			1,06	0,25	1,63	0,81	3,13	1,54	4,81	1,76	4	3,01	30,82	123753,81	90088,05	1	1	1	1,00	1,00	797,83	1,00	1,00	793,58	1,00	669,42	1,00	686,08								very low AF																	o	0,5	1	0						5,72	0,37	0,33	0,45	0,36		9574	12	12	9523	12	12	8033	12	12	8233	12	12			
Aushang	Pulhaht	2	3	0,93	MAN-MADE	1	0	0			1,00		2,53		3,67		5,83	0,48	7	0,50	1,71	172226,57	79671,15	0	0	0	1,00	1,00	820,00	0,58	0,64	907,75								NachR_VE				very low AF	zusammengesetzt						finde ich ok						0,5				o	1	1	0				kir-che		5,81	0,22	0,37	0,35	0,37		9840	12	12	10893	7	12	0	0	0	0	0	0			
Häcksler	Säpstler	2	1	0,93		1	1	1	1	1	5,29	1,06	4,79	1,40	3,50	1,54	4,76	1,41	8	0,02	0,00	332664,27	207372,85	0	0	0	1,00	1,00	844,00	0,75	0,73	959,33	0,58	968,25	1,00	825,33								very high AF																						Nahrungsmittel		toast		5,86	0,15	0,26	0,36	0,08		10128	12	12	11512	9	12	11619	7	12	9904	12	12			
Kiwi	Siwo	2	3	0,93	"nur wenn nötig (im Pilot für Handlung gleich viele inkongruente & kongruente Antworten); aber: NATURAL"	1	0	1	1	0,8	1,07		3,87		4,47		6,00	0,00	4	0,26	7,28	39048,22	22679,22	1	0	0	0,92	0,91	833,67	0,50	0,55	800,92								NachR_VE				very low AF	food (only appear as low AF)	not very high Act															a	0	0	0				lachs		5,56	0,27	0,25	0,40	0,00		10004	11	12	9611	6	12	0	0	0	0	0	0			
Kapuze	Tasuhe	3	1	0,93		1	0	1	1	1	1,11	0,32	4,67	1,08	4,72	1,41	5,83	0,38	6	1,37	1,71	160567,35	148940,82	0	0	0	1,00	1,00	742,00	0,67	0,64	1051,58	1,00	613,92	1,00	766,75								very low AF	highly visual																					Fortbewegungsmittel				5,38	0,35	0,36	0,34	0,19		8904	12	12	12619	8	12	7367	12	12	9201	12	12			
Bongo	Wondo	2	1	0,93		1	1	1	1	1	5,65	0,70	4,88	1,41	3,69	1,82	4,56	1,58	5	0,43	10,70	90283,54	25636,93	0	0	0	0,75	0,73	877,75	0,83	0,82	948,75	0,75	775,75	0,92	762,83								very high AF	musical instr (only appear as high AF)																a	0	0	1				i-gel		4,13						10533	9	12	11385	10	12	9309	9	12	9154	11	12			
Getriebe	Zegreibe	3	4	0,93	besser nicht (im Pilot für Handlung mehr inkongruente Antworten als kongruente)	1	1	0			4,50	1,58	3,22	1,44	2,39	1,24	4,67	1,19	8	4,96	3,85	337924,60	173781,12	0	0	0	0,67	0,64	962,33	0,42	0,36	961,00												very high AF	too general?			im absoluten Notfall (mittleres Act-Rating)													f	0	0,5	1				cham-pig-non		5,13						11548	8	12	11532	5	12	0	0	0	0	0	0			
